t_ms,x_mm,y_mm,heading_deg,v_mm_s,omega_rad_s,pwmL,pwmR
348,2037.595247768983,500.0,0.0,975.8922557233627,0.0,2000,2000
349,2038.5711580185894,500.0,0.0,975.9102496062935,0.0,2000,2000
350,2039.547085905776,500.0,0.0,975.92788718647,0.0,2000,2000
351,2040.5230310812951,500.0,0.0,975.9451755191593,0.0,2000,2000
352,2041.498993202815,500.0,0.0,975.9621215199251,0.0,2000,2000
353,2042.4749719347824,500.0,0.0,975.9787319673935,0.0,2000,2000
354,2043.4509669482884,500.0,0.0,975.9950135059651,0.0,2000,2000
355,2044.426977920937,500.0,0.0,976.0109726484723,0.0,2000,2000
356,2045.4030045367158,500.0,0.0,976.026615778785,0.0,2000,2000
357,2046.37904648587,500.0,0.0,976.0419491543638,0.0,2000,2000
358,2047.3551034647787,500.0,0.0,976.0569789087635,0.0,2000,2000
359,2048.331175175833,500.0,0.0,976.0717110540863,0.0,2000,2000
360,2049.307261327316,500.0,0.0,976.0861514833866,0.0,2000,2000
361,2050.283361633289,500.0,0.0,976.1003059730288,0.0,2000,2000
362,2051.259475813474,500.0,0.0,976.1141801849973,0.0,2000,2000
363,2052.2356035931434,500.0,0.0,976.127779669162,0.0,2000,2000
364,2053.211744703009,500.0,0.0,976.1411098654979,0.0,2000,2000
365,2054.1878988791154,500.0,0.0,976.1541761062614,0.0,2000,2000
366,2055.1640658627334,500.0,0.0,976.1669836181228,0.0,2000,2000
367,2056.1402454002578,500.0,0.0,976.1795375242577,0.0,2000,2000
368,2057.116437243104,500.0,0.0,976.1918428463961,0.0,2000,2000
369,2058.0926411476107,500.0,0.0,976.2039045068307,0.0,2000,2000
370,2059.068856874941,500.0,0.0,976.2157273303865,0.0,2000,2000
371,2060.0450841909874,500.0,0.0,976.2273160463507,0.0,2000,2000
372,2061.021322866278,500.0,0.0,976.2386752903641,0.0,2000,2000
373,2061.997572675884,500.0,0.0,976.2498096062758,0.0,2000,2000
